Date,N-ary_interactions_reports,All_interactions_after_spoke_expansion,All_interaction_reports,Binary_interaction_reports
2005-04-19,399,39360,36865,36466
2005-04-20,401,39447,36949,36548
2005-04-21,401,39511,37013,36612
2005-04-25,402,39520,37018,36616
2005-04-26,413,39592,37031,36618
2005-04-27,421,39630,37052,36631
2005-04-29,421,39707,37129,36708
2005-05-03,421,39722,37144,36723
2005-05-04,421,39726,37148,36727
2005-05-05,424,39759,37151,36727
2005-05-06,424,39774,37166,36742
2005-05-11,424,39780,37172,36748
2005-05-12,430,40020,37206,36776
2005-05-13,432,40040,37216,36784
2005-05-16,432,40046,37222,36790
2005-05-17,433,40066,37240,36807
2005-05-18,433,40071,37245,36812
2005-05-19,433,40079,37253,36820
2005-05-20,435,40091,37263,36828
2005-05-23,435,40108,37280,36845
2005-05-24,436,40160,37331,36895
2005-05-25,438,40189,37358,36920
2005-05-26,438,40257,37426,36988
2005-05-27,440,40269,37431,36991
2005-06-01,440,40272,37434,36994
2005-06-02,440,40301,37463,37023
2005-06-03,453,40420,37535,37082
2005-06-06,457,40490,37601,37144
2005-06-07,459,40550,37624,37165
2005-06-08,459,40557,37631,37172
2005-06-09,460,40579,37652,37192
2005-06-10,470,40629,37683,37213
2005-06-13,490,41228,38242,37752
2005-06-14,490,41233,38247,37757
2005-06-15,499,41270,38275,37776
2005-06-17,499,41271,38276,37777
2005-06-20,504,41331,38307,37803
2005-06-21,505,41362,38332,37827
2005-06-22,508,41455,38420,37912
2005-06-23,508,41523,38488,37980
2005-06-24,518,41660,38557,38039
2005-06-27,518,41716,38613,38095
2005-06-28,530,41823,38639,38109
2005-06-29,530,41840,38656,38126
2005-06-30,530,41846,38662,38132
2005-07-01,530,41855,38671,38141
2005-07-05,531,41862,38677,38146
2005-07-07,531,41899,38714,38183
2005-07-08,533,41937,38750,38217
2005-07-09,533,41938,38751,38218
2005-07-11,533,41940,38753,38220
2005-07-12,541,41996,38777,38236
2005-07-13,544,42012,38790,38246
2005-07-14,547,42050,38818,38271
2005-07-15,561,42403,38855,38294
2005-07-18,561,42417,38869,38308
2005-07-19,564,42511,38879,38315
2005-07-20,564,42526,38894,38330
2005-07-21,568,42554,38911,38343
2005-07-22,569,43103,39459,38890
2005-07-25,571,43136,39490,38919
2005-07-26,572,43180,39530,38958
2005-07-27,576,43217,39563,38987
2005-07-28,583,43284,39594,39011
2005-07-29,583,43516,39826,39243
2005-08-01,594,43634,39866,39272
2005-08-02,594,43637,39869,39275
2005-08-03,594,43646,39878,39284
2005-08-04,594,43677,39909,39315
2005-08-05,595,43683,39914,39319
2005-08-08,595,43704,39935,39340
2005-08-09,595,43713,39944,39349
2005-08-10,595,43766,39997,39402
2005-08-11,595,43795,40026,39431
2005-08-12,600,43833,40059,39459
2005-08-15,600,43841,40067,39467
2005-08-16,600,43856,40082,39482
2005-08-17,601,43869,40094,39493
2005-08-18,601,43894,40119,39518
2005-08-19,601,43902,40127,39526
2005-08-22,601,43954,40179,39578
2005-08-23,601,43976,40201,39600
2005-08-24,601,43982,40207,39606
2005-08-25,611,44040,40228,39617
2005-08-26,611,44041,40229,39618
2005-08-30,614,44057,40232,39618
2005-09-02,615,44061,40233,39618
2005-09-05,619,44080,40242,39623
2005-09-06,623,44089,40246,39623
2005-09-07,627,44109,40257,39630
2005-09-09,629,44115,40259,39630
2005-09-12,629,44128,40272,39643
2005-09-13,632,44143,40278,39646
2005-09-14,633,44148,40282,39649
2005-09-20,635,44156,40288,39653
2005-09-21,636,44158,40289,39653
2005-09-22,636,44167,40298,39662
2005-09-23,639,44191,40318,39679
2005-09-26,640,44197,40323,39683
2005-09-27,640,44199,40325,39685
2005-09-28,640,45270,41396,40756
2005-09-29,641,45314,41430,40789
2005-09-30,641,45407,41523,40882
2005-10-03,641,45411,41527,40886
2005-10-04,641,45415,41531,40890
2005-10-05,641,45423,41539,40898
2005-10-06,641,45445,41561,40920
2005-10-07,641,45465,41581,40940
2005-10-11,641,45508,41624,40983
2005-10-12,641,45535,41651,41010
2005-10-13,643,45588,41697,41054
2005-10-14,648,45684,41785,41137
2005-10-17,649,45702,41802,41153
2005-10-18,650,45722,41821,41171
2005-10-19,653,45785,41881,41228
2005-10-20,653,45789,41885,41232
2005-10-21,655,45880,41889,41234
2005-10-24,655,45896,41905,41250
2005-10-25,655,45910,41919,41264
2005-10-26,655,45941,41950,41295
2005-10-27,655,45946,41955,41300
2005-10-28,655,45947,41956,41301
2005-11-02,655,45966,41975,41320
2005-11-03,662,46010,41994,41332
2005-11-04,662,46020,42004,41342
2005-11-07,662,46046,42030,41368
2005-11-08,664,46068,42050,41386
2005-11-09,669,46102,42079,41410
2005-11-10,669,46129,42106,41437
2005-11-11,678,46314,42277,41599
2005-11-14,678,46339,42302,41624
2005-11-15,679,46381,42306,41627
2005-11-16,679,46421,42346,41667
2005-11-17,681,46460,42369,41688
2005-11-18,690,49703,45567,44877
2005-11-21,690,49735,45599,44909
2005-11-22,691,49844,45611,44920
2005-11-23,692,52656,48390,47698
2005-11-24,692,52675,48409,47717
2005-11-25,692,52678,48412,47720
2005-11-28,692,52684,48418,47726
2005-11-29,693,52760,48439,47746
2005-11-30,694,52777,48448,47754
2005-12-01,698,52916,48567,47869
2005-12-05,704,52941,48582,47878
2005-12-06,712,52980,48606,47894
2005-12-07,719,53006,48619,47900
2005-12-08,725,53050,48653,47928
2005-12-09,727,53137,48675,47948
2005-12-12,727,53141,48679,47952
2005-12-13,727,53149,48687,47960
2005-12-14,727,53181,48719,47992
2005-12-15,727,53283,48821,48094
2005-12-16,727,53297,48835,48108
2005-12-19,727,53302,48840,48113
2005-12-20,737,53445,48850,48113
2005-12-21,750,53577,48865,48115
2005-12-22,751,53621,48870,48119
2005-12-23,751,53622,48871,48120
2006-01-04,752,53628,48876,48124
2006-01-06,754,53632,48878,48124
2006-01-09,756,53670,48897,48141
2006-01-10,758,53724,48933,48175
2006-01-11,758,53744,48953,48195
2006-01-12,758,53746,48955,48197
2006-01-13,758,53753,48962,48204
2006-01-16,758,53761,48970,48212
2006-01-17,761,53818,49024,48263
2006-01-18,761,53828,49034,48273
2006-01-20,762,53869,49074,48312
2006-01-23,769,54013,49097,48328
2006-01-24,771,54206,49102,48331
2006-01-25,2864,80325,51515,48651
2006-01-26,2864,80327,51517,48653
2006-01-27,2864,80335,51525,48661
2006-01-30,2871,80419,51532,48661
2006-01-31,2878,80659,51539,48661
2006-02-01,2885,83509,54289,51404
2006-02-02,2891,83614,54303,51412
2006-02-03,2891,83625,54314,51423
2006-02-06,2891,83674,54363,51472
2006-02-07,2900,83709,54385,51485
2006-02-08,2908,83819,54416,51508
2006-02-09,2909,83844,54417,51508
2006-02-10,2913,83902,54467,51554
2006-02-13,2916,83932,54488,51572
2006-02-14,2920,83975,54518,51598
2006-02-15,2978,87190,57138,54160
2006-02-16,2979,87205,57151,54172
2006-02-17,2979,87233,57179,54200
2006-02-20,2980,87252,57196,54216
2006-02-21,2983,87452,57391,54408
2006-02-22,2988,87490,57420,54432
2006-02-23,2989,87510,57439,54450
2006-02-24,2990,87556,57481,54491
2006-02-27,3000,87600,57510,54510
2006-02-28,3001,88458,58367,55366
2006-03-01,3004,88485,58391,55387
2006-03-02,3007,88519,58422,55415
2006-03-03,3012,88558,58437,55425
2006-03-06,3015,88636,58445,55430
2006-03-07,3022,88684,58459,55437
2006-03-08,3028,88759,58505,55477
2006-03-09,3655,94994,59395,55740
2006-03-10,3665,95145,59429,55764
2006-03-13,3673,95176,59447,55774
2006-03-14,3682,95256,59495,55813
2006-03-15,3689,95300,59525,55836
2006-03-16,3691,95346,59542,55851
2006-03-17,3691,95354,59550,55859
2006-03-20,3705,95455,59632,55927
2006-03-21,3709,95476,59643,55934
2006-03-22,3711,95496,59657,55946
2006-03-24,3711,95614,59775,56064
2006-03-27,3727,95950,59805,56078
2006-03-28,3742,96062,59891,56149
2006-03-29,3748,96090,59908,56160
2006-03-31,3751,96120,59935,56184
2006-04-03,3752,96133,59947,56195
2006-04-04,3761,96917,59984,56223
2006-04-05,3765,96952,60014,56249
2006-04-06,3767,96971,60029,56262
2006-04-07,3767,96995,60053,56286
2006-04-10,3769,97090,60145,56376
2006-04-11,3773,97132,60183,56410
2006-04-12,3773,97160,60211,56438
2006-04-13,3775,97179,60228,56453
2006-04-18,3775,97184,60233,56458
2006-04-20,3775,97187,60236,56461
2006-04-21,3775,97260,60309,56534
2006-04-24,3779,97293,60338,56559
2006-04-25,3779,97303,60348,56569
2006-04-26,3780,97345,60389,56609
2006-04-27,3784,97439,60412,56628
2006-04-28,3788,97486,60427,56639
2006-04-30,3788,97488,60429,56641
2006-05-01,3788,97491,60432,56644
2006-05-02,3791,97536,60460,56669
2006-05-03,3794,97580,60465,56671
2006-05-04,3794,97583,60468,56674
2006-05-05,3796,97599,60482,56686
2006-05-08,3796,97602,60485,56689
2006-05-09,3800,97633,60512,56712
2006-05-10,3801,97655,60533,56732
2006-05-11,3801,97664,60542,56741
2006-05-15,3802,97672,60549,56747
2006-05-16,3803,97680,60556,56753
2006-05-17,3803,97687,60563,56760
2006-05-18,3803,97700,60576,56773
2006-05-19,3803,97703,60579,56776
2006-05-22,3805,98298,61172,57367
2006-05-23,3805,98299,61173,57368
2006-05-26,3809,98326,61184,57375
2006-05-30,3809,98345,61203,57394
2006-05-31,3809,98374,61232,57423
2006-06-02,3809,98500,61358,57549
2006-06-05,3809,98510,61368,57559
2006-06-06,3809,98514,61372,57563
2006-06-07,3809,98519,61377,57568
2006-06-08,3809,98521,61379,57570
2006-06-09,3811,98546,61402,57591
2006-06-13,3811,98613,61469,57658
2006-06-14,3811,98615,61471,57660
2006-06-15,3811,99489,62345,58534
2006-06-16,3812,99523,62378,58566
2006-06-20,3812,99538,62393,58581
2006-06-21,3813,99558,62412,58599
2006-06-22,3813,99560,62414,58601
2006-06-23,3815,99580,62432,58617
2006-06-26,3815,99581,62433,58618
2006-06-27,3815,99590,62442,58627
2006-06-28,3815,99593,62445,58630
2006-06-29,3820,99658,62481,58661
2006-06-30,3820,99663,62486,58666
2006-07-03,3820,99679,62502,58682
2006-07-04,3821,99701,62523,58702
2006-07-05,3821,99727,62549,58728
2006-07-06,3821,99746,62568,58747
2006-07-07,3822,99783,62600,58778
2006-07-10,3826,99826,62636,58810
2006-07-11,3830,99959,62677,58847
2006-07-12,3833,100009,62722,58889
2006-07-13,3835,100068,62769,58934
2006-07-14,3844,100176,62845,59001
2006-07-17,3844,100181,62850,59006
2006-07-18,3845,100191,62859,59014
2006-07-19,3846,100232,62897,59051
2006-07-20,3847,100253,62915,59068
2006-07-21,3847,100267,62929,59082
2006-07-24,3853,100317,62955,59102
2006-07-25,3861,100386,63012,59151
2006-07-26,3863,100447,63071,59208
2006-07-27,3868,100531,63124,59256
2006-07-28,3868,100560,63153,59285
2006-07-31,3869,100567,63159,59290
2006-08-01,3870,100579,63170,59300
2006-08-02,3870,100581,63172,59302
2006-08-03,3871,100600,63190,59319
2006-08-04,3874,100635,63214,59340
2006-08-07,3885,100705,63241,59356
2006-08-08,3892,100741,63270,59378
2006-08-09,3894,100786,63313,59419
2006-08-10,3900,100851,63372,59472
2006-08-11,3903,100889,63407,59504
2006-08-14,3905,100946,63462,59557
2006-08-15,3907,100974,63487,59580
2006-08-16,3911,101009,63517,59606
2006-08-17,3911,101027,63535,59624
2006-08-18,3922,101123,63586,59664
2006-08-21,3930,101210,63664,59734
2006-08-22,3941,101319,63753,59812
2006-08-23,3946,101402,63802,59856
2006-08-24,3949,101437,63828,59879
2006-08-25,3950,101448,63835,59885
2006-08-28,3958,101490,63861,59903
2006-08-29,3968,101533,63881,59913
2006-08-30,3981,101601,63926,59945
2006-08-31,3984,101657,63979,59995
2006-09-01,3985,101703,64024,60039
2006-09-04,3985,101746,64067,60082
2006-09-05,3990,101766,64078,60088
2006-09-06,3993,101791,64100,60107
2006-09-07,4001,101825,64116,60115
2006-09-08,4004,101852,64140,60136
2006-09-11,4011,101873,64153,60142
2006-09-12,4025,101936,64177,60152
2006-09-13,4026,101967,64207,60181
2006-09-14,4031,101987,64219,60188
2006-09-15,4031,101999,64231,60200
2006-09-16,4031,102007,64239,60208
2006-09-17,4032,102021,64252,60220
2006-09-18,4034,102049,64278,60244
2006-09-19,4034,102052,64281,60247
2006-09-20,4141,102857,64936,60795
2006-09-21,4141,102861,64940,60799
2006-09-22,4142,109350,71428,67286
2006-09-23,4142,109351,71429,67287
2006-09-26,4142,109357,71435,67293
2006-09-27,4143,109384,71460,67317
2006-09-28,4144,109504,71578,67434
2006-09-29,4147,109563,71633,67486
2006-10-02,4148,109592,71650,67502
2006-10-03,4149,109625,71682,67533
2006-10-04,4149,109628,71685,67536
2006-10-05,4150,109631,71686,67536
2006-10-06,4150,109886,71941,67791
2006-10-09,4159,109982,71963,67804
2006-10-10,4161,110063,71994,67833
2006-10-11,4161,110066,71997,67836
2006-10-12,4161,110079,72010,67849
2006-10-13,4161,110093,72024,67863
2006-10-16,4161,110094,72025,67864
2006-10-23,4161,110139,72070,67909
2006-10-24,4162,110184,72110,67948
2006-10-25,5738,118925,74105,68367
2006-10-26,5738,118948,74128,68390
2006-10-27,5738,118959,74139,68401
2006-10-30,5753,119043,74202,68449
2006-10-31,5760,119169,74311,68551
2006-11-01,5776,119244,74366,68590
2006-11-02,5782,119287,74402,68620
2006-11-03,5782,119496,74611,68829
2006-11-06,5785,119585,74697,68912
2006-11-07,5785,119606,74718,68933
2006-11-08,5789,119643,74748,68959
2006-11-09,5789,119661,74766,68977
2006-11-10,5789,119680,74785,68996
2006-11-13,5789,119689,74794,69005
2006-11-14,5794,119716,74815,69021
2006-11-15,5794,119727,74826,69032
2006-11-16,5795,119731,74829,69034
2006-11-17,5798,119768,74862,69064
2006-11-20,5800,119796,74883,69083
2006-11-21,5801,119814,74900,69099
2006-11-22,5803,119830,74914,69111
2006-11-23,5805,119844,74926,69121
2006-11-24,5816,119920,74960,69144
2006-11-27,5816,119926,74966,69150
2006-11-28,5827,120113,74989,69162
2006-11-29,5838,120155,75011,69173
2006-11-30,5840,120174,75028,69188
2006-12-01,5842,120250,75056,69214
2006-12-04,5851,120305,75098,69247
2006-12-05,5873,120416,75130,69257
2006-12-06,5880,120445,75151,69271
2006-12-07,5881,120450,75155,69274
2006-12-08,5882,120457,75161,69279
2006-12-11,5892,120482,75174,69282
2006-12-12,5893,120487,75178,69285
2006-12-13,5897,120506,75193,69296
2006-12-14,5897,120507,75194,69297
2006-12-15,5897,120512,75199,69302
2006-12-18,5899,120523,75208,69309
2006-12-19,5902,120541,75216,69314
2006-12-20,5902,120557,75232,69330
2006-12-21,5907,120579,75244,69337
2006-12-22,5908,120583,75245,69337
2007-01-02,5908,120590,75252,69344
2007-01-03,5908,120601,75263,69355
2007-01-04,5910,120624,75279,69369
2007-01-05,5921,120682,75321,69400
2007-01-08,5921,120701,75340,69419
2007-01-09,5921,120702,75341,69420
2007-01-10,5944,120802,75378,69434
2007-01-11,5945,120811,75386,69441
2007-01-12,5945,120816,75391,69446
2007-01-16,5945,120822,75397,69452
2007-01-17,5947,120831,75404,69457
2007-01-18,5947,120836,75409,69462
2007-01-19,5947,120867,75440,69493
2007-01-22,5953,120910,75470,69517
2007-01-23,5954,120917,75476,69522
2007-01-24,5960,120971,75493,69533
2007-01-25,5964,120982,75498,69534
2007-01-26,5969,121056,75511,69542
2007-01-28,5969,121060,75515,69546
2007-01-29,5978,121127,75545,69567
2007-01-30,5982,121200,75561,69579
2007-01-31,5984,121216,75573,69589
2007-02-01,5984,121221,75578,69594
2007-02-02,5984,121223,75580,69596
2007-02-05,5987,121296,75650,69663
2007-02-06,5987,122162,76516,70529
2007-02-07,5989,122184,76536,70547
2007-02-08,5996,122227,76569,70573
2007-02-09,6013,122300,76612,70599
2007-02-13,6021,122335,76638,70617
2007-02-14,6021,122349,76652,70631
2007-02-15,6021,122357,76660,70639
2007-02-16,6022,122400,76702,70680
2007-02-19,6022,122410,76712,70690
2007-02-20,6033,122468,76752,70719
2007-02-21,6048,122552,76783,70735
2007-02-22,6048,122600,76831,70783
2007-02-23,6050,122664,76893,70843
2007-02-25,6050,122668,76897,70847
2007-02-26,6051,122679,76907,70856
2007-02-27,6052,122688,76914,70862
2007-02-28,6052,122704,76930,70878
2007-03-01,6054,122718,76937,70883
2007-03-02,6059,122734,76946,70887
2007-03-05,6071,122845,76978,70907
2007-03-06,6075,122872,77000,70925
2007-03-07,6081,122925,77034,70953
2007-03-08,6084,122952,77055,70971
2007-03-09,6088,122974,77069,70981
2007-03-12,6088,122978,77073,70985
2007-03-13,6090,123004,77095,71005
2007-03-14,6090,123042,77133,71043
2007-03-15,6092,123108,77197,71105
2007-03-16,6092,123112,77201,71109
2007-03-19,6094,123119,77206,71112
2007-03-20,6095,123139,77225,71130
